Country,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Estimates Start After
Fiji,U.S. dollars,Units,"2,286.99","2,238.55","2,467.53","3,079.61","3,601.62","3,943.27","4,041.49","4,405.16","4,535.43","3,673.96","4,004.67","4,797.05","5,017.72","5,268.16","5,611.19","5,385.52",2020
Finland,U.S. dollars,Units,"24,379.78","25,001.18","27,008.26","32,961.92","37,816.08","39,147.22","41,308.62","48,590.20","53,897.91","47,541.75","46,647.00","51,263.57","47,850.56","50,006.02","50,434.79","42,867.09",2022
France,U.S. dollars,Units,"23,212.45","23,245.26","25,137.40","30,682.64","35,016.22","36,057.12","37,795.92","43,060.03","47,155.21","43,190.97","42,178.58","45,419.97","42,372.07","44,144.64","44,616.46","37,937.86",2022
Gabon,U.S. dollars,Units,"4,477.32","4,065.93","4,210.28","5,015.60","5,837.62","6,942.70","7,271.09","8,652.15","10,418.28","7,856.85","8,933.31","10,893.46","9,903.41","9,760.75","9,746.79","7,453.11",2015
The Gambia,U.S. dollars,Units,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,2018
Georgia,U.S. dollars,Units,763.707,820.006,875.188,"1,034.53","1,338.09","1,682.53","2,052.26","2,700.42","3,419.92","2,890.71","3,221.63","4,003.46","4,409.63","4,622.55","4,742.50","4,017.62",2022
Germany,U.S. dollars,Units,"23,924.88","23,869.77","25,460.33","30,668.85","34,534.81","35,020.20","36,894.47","42,299.86","46,367.72","42,338.84","42,379.71","46,697.38","43,883.39","46,299.23","48,035.95","41,107.10",2022
Ghana,U.S. dollars,Units,606.501,630.698,714.42,860.469,973.287,"1,151.31","1,320.28","1,520.64","1,688.08","1,477.65","1,757.05","2,131.75","2,197.91","2,405.77","2,003.71","1,784.25",2022
Greece,U.S. dollars,Units,"12,268.25","12,579.41","14,185.46","18,534.61","22,015.20","22,608.39","24,858.59","28,900.03","32,173.51","29,829.30","26,743.40","25,437.01","21,845.05","21,712.02","21,554.22","18,023.87",2021
Grenada,U.S. dollars,Units,"5,056.98","5,041.02","5,213.80","5,682.71","5,741.65","6,644.22","6,658.22","7,213.00","7,832.37","7,290.82","7,258.18","7,291.74","7,444.08","7,789.62","8,370.03","9,096.54",2021
Guatemala,U.S. dollars,Units,"1,555.57","1,654.95","1,795.77","1,847.29","1,951.80","2,151.74","2,336.96","2,556.76","2,873.09","2,654.10","2,836.06","3,172.12","3,267.79","3,397.63","3,632.10","3,825.88",2020
Guinea,U.S. dollars,Units,461.784,427.879,444.663,517.03,534.339,470.57,426.419,628.711,675.387,637.478,630.549,607.035,645.096,713.128,728.729,712.025,2014
Guinea-Bissau,U.S. dollars,Units,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,2017
Guyana,U.S. dollars,Units,"2,017.20","2,023.62","2,092.96","2,144.11","2,233.00","2,305.91","2,551.77","2,982.22","3,329.64","3,457.37","3,837.30","4,402.78","5,360.28","5,476.74","5,402.70","5,579.97",2019
Haiti,U.S. dollars,Units,794.059,720.822,684.333,540.556,660.218,773.35,794.79,991.684,"1,074.36","1,168.75","1,175.20","1,269.35","1,316.50","1,408.81","1,408.67","1,359.21",2003
Honduras,U.S. dollars,Units,"1,093.11","1,133.19","1,134.07","1,158.18","1,217.82","1,308.09","1,430.06","1,583.05","1,739.36","1,789.71","1,904.35","2,088.31","2,144.34","2,102.60","2,206.06","2,302.20",2022
Hong Kong SAR,U.S. dollars,Units,"25,574.49","25,166.90","24,731.08","23,856.48","24,873.90","26,551.77","28,028.16","30,494.55","31,487.94","30,593.99","32,421.36","34,955.15","36,623.75","38,233.35","40,185.30","42,325.35",2021
Hungary,U.S. dollars,Units,"4,619.29","5,269.61","6,644.61","8,409.10","10,291.67","11,211.25","11,483.14","13,926.75","15,761.63","13,066.42","13,199.06","14,214.13","12,969.62","13,693.04","14,279.02","12,700.30",2022
Iceland,U.S. dollars,Units,"32,344.36","29,061.34","32,516.44","39,620.41","47,579.94","57,405.56","58,238.89","70,375.33","57,296.25","41,188.91","43,293.02","47,798.81","46,159.80","50,100.08","54,864.16","53,227.63",2022
India,U.S. dollars,Units,449.787,457.8,477.068,553.382,635.054,722.492,809.568,"1,041.19","1,014.39","1,115.83","1,377.11","1,449.60","1,434.02","1,438.06","1,559.86","1,590.17",2013
Indonesia,U.S. dollars,Units,870.154,834.139,"1,002.91","1,186.85","1,280.70","1,403.88","1,764.79","2,064.23","2,418.04","2,464.96","3,178.13","3,688.53","3,744.53","3,684.00","3,533.61","3,367.69",2022
Islamic Republic of Iran,U.S. dollars,Units,"5,776.86","5,124.77","2,020.84","2,353.36","2,764.81","3,291.94","3,863.50","5,045.69","5,890.71","6,016.80","6,983.78","8,322.46","5,548.31","5,561.45","5,910.08","5,172.13",2021
Iraq,U.S. dollars,Units,n/a,n/a,n/a,608.655,"1,373.74","1,828.74","2,321.26","3,090.85","4,472.12","3,701.86","4,473.71","5,848.54","6,692.58","7,021.41","6,704.31","5,044.62",2013
Ireland,U.S. dollars,Units,"26,184.69","28,119.31","32,481.58","40,939.73","47,388.80","50,476.48","53,738.84","60,770.19","60,989.84","51,943.66","48,620.63","52,159.12","48,918.73","51,422.86","55,651.92","62,027.65",2022
Israel,U.S. dollars,Units,"21,641.30","20,918.34","19,044.92","19,634.85","20,565.77","21,233.80","22,501.12","25,647.70","30,182.53","28,330.23","31,278.05","34,366.86","32,928.74","36,589.29","37,856.53","35,768.61",2022
Italy,U.S. dollars,Units,"20,153.05","20,505.92","22,386.28","27,580.48","31,342.83","32,031.43","33,448.11","37,828.34","40,818.99","36,982.81","35,815.62","38,276.03","34,743.75","35,534.99","35,836.18","30,463.70",2022
Jamaica,U.S. dollars,Units,"3,510.58","3,529.71","3,709.57","3,586.44","3,855.67","4,241.40","4,494.63","4,829.30","5,134.25","4,507.19","4,894.37","5,332.52","5,448.46","5,238.15","5,105.51","5,204.83",2019
Japan,U.S. dollars,Units,"39,172.97","34,410.68","32,832.30","35,410.23","38,307.10","37,819.11","36,021.90","35,847.23","39,992.06","41,469.77","45,135.80","48,760.92","49,175.04","40,934.76","38,522.77","35,005.66",2022
Jordan,U.S. dollars,Units,"1,703.24","1,776.46","1,875.33","1,946.12","2,109.38","2,277.94","2,636.27","2,870.64","3,454.31","3,559.69","3,736.65","3,852.89","3,915.87","4,050.14","4,137.28","4,169.99",2021
Kazakhstan,U.S. dollars,Units,"1,230.49","1,491.65","1,657.16","2,062.29","2,862.50","3,753.44","5,261.03","6,733.45","8,349.29","7,116.37","9,005.04","11,552.57","12,300.19","13,789.17","12,713.56","10,435.17",2022
Kenya,U.S. dollars,Units,617.147,617.055,611.901,668.483,692.718,778.333,854.992,"1,028.24","1,118.77","1,123.27","1,176.31","1,178.60","1,396.22","1,490.42","1,613.10","1,625.18",2019
Kiribati,U.S. dollars,Units,803.324,734.58,827.798,"1,020.83","1,132.96","1,214.94","1,169.00","1,377.37","1,456.19","1,331.19","1,512.47","1,726.24","1,783.59","1,715.89","1,628.35","1,537.93",2020
Korea,U.S. dollars,Units,"12,263.47","11,563.04","13,159.68","14,672.42","16,482.75","19,398.49","21,730.95","24,083.34","21,387.71","19,139.73","23,077.16","25,100.19","25,459.17","27,179.52","29,252.93","28,737.44",2021
Kosovo,U.S. dollars,Units,"1,506.09","1,704.29","1,807.20","2,205.54","2,274.68","2,318.30","2,400.14","2,865.64","3,025.01","2,878.49","3,013.16","3,562.03","3,396.89","3,699.48","3,920.47","3,554.10",2021
Kuwait,U.S. dollars,Units,"17,009.47","15,116.58","15,756.24","18,796.66","21,585.52","27,012.21","31,903.75","33,711.96","42,823.65","30,414.91","32,216.41","41,657.54","45,522.56","43,927.64","39,759.39","27,035.99",2020
Kyrgyz Republic,U.S. dollars,Units,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,"1,131.47","1,189.52","1,295.23","1,292.62","1,132.84",2021
Lao P.D.R.,U.S. dollars,Units,316.667,318.271,328.928,397.312,459.603,525.985,661.572,787.382,969.073,"1,032.33","1,187.02","1,397.00","1,566.20","1,813.80","1,982.52","2,124.26",2020
Latvia,U.S. dollars,Units,"3,343.18","3,553.67","4,120.69","5,121.74","6,342.84","7,569.83","9,690.46","14,079.58","16,435.21","12,243.07","11,316.93","13,371.01","13,786.59","14,927.22","15,685.98","13,728.37",2022
Lebanon,U.S. dollars,Units,"4,428.66","4,349.95","4,504.15","4,440.35","4,630.73","4,575.07","4,626.82","5,207.76","6,111.36","7,354.97","7,761.62","7,675.29","7,948.65","7,928.32","7,681.71","7,642.96",2019
Lesotho,U.S. dollars,Units,493.333,414.027,457.662,670.897,852.696,922.416,916.563,930.798,868.532,"1,011.42","1,222.20","1,324.61","1,261.44","1,191.99","1,250.63","1,104.54",2016
Liberia,U.S. dollars,Units,303.143,305.909,311.768,231.891,286.104,293.471,333.151,388.154,464.437,470.218,505.363,582.614,646.662,716.576,708.816,691.369,2020
